workbook	sheet_name	requested_sheet_name	figure_or_table	description	upstream_source	notes
Paper1_Supplementary_Data_FINAL.xlsx	STable2_model_summary	STable2_model_summary	Supplementary Table 2	Frozen model registry summary.	outputs/paper1_data_refresh_20260710/PAPER1_FROZEN_MODEL_REGISTRY.tsv	
Paper1_Supplementary_Data_FINAL.xlsx	STable3_split_protocol_summary	STable3_split_protocol_summary	Supplementary Table 3	Split protocol and run-status summary from the updated PASS frozen registry.	outputs/paper1_data_refresh_20260710/PAPER1_FROZEN_MODEL_REGISTRY.tsv	
Paper1_Supplementary_Data_FINAL.xlsx	STable4_official_asset_registry	STable4_official_asset_registry	Supplementary Table 4	Official frozen asset registry used for Paper1 final exports.	outputs/paper1_data_refresh_20260710/PAPER1_FROZEN_MODEL_REGISTRY.tsv	
Paper1_Supplementary_Data_FINAL.xlsx	STable5_MDA_complete_summary_me	STable5_MDA_complete_summary_mean_sd	Supplementary Table 5	Complete MDA summary mean and sample SD.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv	
Paper1_Supplementary_Data_FINAL.xlsx	STable6_MDA_raw_seed_metrics	STable6_MDA_raw_seed_metrics	Supplementary Table 6	MDA raw seed-level metrics.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv	
Paper1_Supplementary_Data_FINAL.xlsx	STable7_CDA_complete_summary_me	STable7_CDA_complete_summary_mean_sd	Supplementary Table 7	Complete CDA summary mean and sample SD.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_SUMMARY_MEAN_SD.tsv	
Paper1_Supplementary_Data_FINAL.xlsx	STable8_CDA_raw_seed_metrics_or	STable8_CDA_raw_seed_metrics_or_summary	Supplementary Table 8	CDA raw seed-level metrics.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_RAW_SEED_METRICS.tsv	
Paper1_Supplementary_Data_FINAL.xlsx	STable9_similarity_stratified_s	STable9_similarity_stratified_seed_level	Supplementary Table 9	Similarity-stratified seed-level metrics.	outputs/paper1_data_refresh_20260710/Fig4_similarity_stratified_seed_metrics.tsv	
Paper1_Supplementary_Data_FINAL.xlsx	STable10_masking_summary	STable10_masking_summary	Supplementary Table 10	Masking audit and GAT-only formal masking summaries.	formal_runs/cda_msmcda_native_maskedcold_full100_fixedfinal_20260701/07_tables; formal_runs/gat_only_masking_formal_20260625/table_exports	
Paper1_Supplementary_Data_FINAL.xlsx	STable11_external_support_summa	STable11_external_support_summary	Supplementary Table 11	External support enrichment summary.	formal_runs/table_exports/external_enrichment_final_summary.tsv	
Paper1_Supplementary_Data_FINAL.xlsx	STable12_excluded_assets_and_au	STable12_excluded_assets_and_audit_notes	Supplementary Table 12	Excluded stale/failed/smoke/pilot/partial assets and audit notes.	outputs/paper1_data_refresh_20260710/PAPER1_EXCLUDED_STALE_OR_FAILED_ASSETS.tsv; formal_runs/paper1_github_packaging_registry_20260708/PAPER1_EXCLUDED_STALE_OR_FAILED_ASSETS.tsv	
Paper1_Supplementary_Data_FINAL.xlsx	STable13_official_audit_summary	STable13_official_audit_summary	STable13 official audit summary	Official seven-model audit summary.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_AUDIT_SUMMARY.tsv	
Paper1_Supplementary_Data_FINAL.xlsx	STable14_prediction_manifest	STable14_prediction_manifest	STable14 prediction manifest	Official prediction manifest.	outputs/paper1_data_refresh_20260710/PAPER1_7MODEL_PREDICTION_MANIFEST.tsv	
Paper1_Supplementary_Data_FINAL.xlsx	STable15_GAT_masking_pairwise	STable15_GAT_masking_pairwise	STable15 GAT masking pairwise	GAT-only masking pairwise confirmatory statistics.	formal_runs/gat_only_masking_formal_20260625/table_exports/GAT_ONLY_MASKING_FORMAL_PAIRWISE_CONFIRMATORY.tsv	
Paper1_Supplementary_Data_FINAL.xlsx	STable16_external_support_raw	STable16_external_support_raw	STable16 external support raw	External support enrichment seed-level/raw table.	formal_runs/table_exports/external_enrichment_final_raw.tsv	
